#options: 1920x1080 fps=30/1 timebase=1/30 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=18 lookahead_threads=6 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=abr mbtree=1 bitrate=12900 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:84 out:86 type:b dur:2 cpbdur:2 q:0.00 aq:1.33 tex:2469093 mv:51975 misc:1332 imb:282 pmb:4800 smb:3078 d:- ref:0 ;
in:86 out:87 type:b dur:2 cpbdur:2 q:0.00 aq:0.78 tex:2458759 mv:52782 misc:1347 imb:196 pmb:4812 smb:3152 d:- ref:0 ;
in:91 out:88 type:P dur:2 cpbdur:2 q:0.00 aq:0.30 tex:4153614 mv:45563 misc:1215 imb:1765 pmb:3332 smb:3063 d:- ref:0 ;
in:89 out:89 type:B dur:2 cpbdur:2 q:0.00 aq:0.70 tex:3335054 mv:67580 misc:1198 imb:494 pmb:4535 smb:3131 d:- ref:0 ;
in:88 out:90 type:b dur:2 cpbdur:2 q:0.00 aq:0.70 tex:2487747 mv:54816 misc:1229 imb:318 pmb:4638 smb:3204 d:- ref:0 ;
in:90 out:91 type:b dur:2 cpbdur:2 q:0.00 aq:0.77 tex:2259238 mv:51069 misc:1229 imb:244 pmb:4720 smb:3196 d:- ref:0 ;
in:95 out:92 type:P dur:2 cpbdur:2 q:0.05 aq:0.19 tex:4300435 mv:46587 misc:1258 imb:1934 pmb:3322 smb:2904 d:- ref:0 ;
in:93 out:93 type:B dur:2 cpbdur:2 q:0.02 aq:0.69 tex:3664737 mv:74331 misc:1260 imb:763 pmb:4385 smb:3012 d:- ref:0 ;
in:92 out:94 type:b dur:2 cpbdur:2 q:0.01 aq:0.84 tex:2731325 mv:58541 misc:1286 imb:413 pmb:4696 smb:3051 d:- ref:0 ;
in:94 out:95 type:b dur:2 cpbdur:2 q:0.03 aq:0.90 tex:2625398 mv:56391 misc:1243 imb:307 pmb:4715 smb:3138 d:- ref:0 ;
in:99 out:96 type:P dur:2 cpbdur:2 q:2.62 aq:0.83 tex:4150468 mv:48075 misc:1289 imb:1800 pmb:3414 smb:2946 d:- ref:0 ;
in:97 out:97 type:B dur:2 cpbdur:2 q:1.33 aq:1.03 tex:3378476 mv:70587 misc:1233 imb:519 pmb:4595 smb:3046 d:- ref:0 ;
in:96 out:98 type:b dur:2 cpbdur:2 q:0.69 aq:0.88 tex:2553735 mv:58565 misc:1340 imb:377 pmb:4790 smb:2993 d:- ref:0 ;
in:98 out:99 type:b dur:2 cpbdur:2 q:1.97 aq:1.33 tex:2268568 mv:56272 misc:1376 imb:185 pmb:4928 smb:3047 d:- ref:0 ;
in:102 out:100 type:P dur:2 cpbdur:2 q:5.84 aq:1.63 tex:3486776 mv:46034 misc:1278 imb:1695 pmb:3515 smb:2950 d:- ref:0 ;
in:100 out:101 type:B dur:2 cpbdur:2 q:3.69 aq:2.08 tex:2539533 mv:63496 misc:1403 imb:469 pmb:4666 smb:3025 d:- ref:0 ;
in:101 out:102 type:b dur:2 cpbdur:2 q:4.76 aq:3.06 tex:1898365 mv:55481 misc:1378 imb:365 pmb:4740 smb:3055 d:- ref:0 ;
in:104 out:103 type:P dur:2 cpbdur:2 q:7.39 aq:2.69 tex:3013229 mv:44231 misc:1140 imb:1345 pmb:3754 smb:3061 d:- ref:0 ;
in:103 out:104 type:b dur:2 cpbdur:2 q:6.61 aq:4.43 tex:1582434 mv:62140 misc:1362 imb:391 pmb:4705 smb:3064 d:- ref:0 ;
in:108 out:105 type:P dur:2 cpbdur:2 q:8.42 aq:2.94 tex:3298975 mv:48523 misc:1190 imb:1661 pmb:3641 smb:2858 d:- ref:0 ;
in:106 out:106 type:B dur:2 cpbdur:2 q:7.90 aq:4.79 tex:2079147 mv:65884 misc:1337 imb:534 pmb:4601 smb:3025 d:- ref:0 ;
in:105 out:107 type:b dur:2 cpbdur:2 q:7.65 aq:5.31 tex:1146294 mv:51676 misc:1542 imb:224 pmb:4763 smb:3173 d:- ref:0 ;
in:107 out:108 type:b dur:2 cpbdur:2 q:8.16 aq:5.87 tex:1243257 mv:53039 misc:1536 imb:189 pmb:4907 smb:3064 d:- ref:0 ;
in:112 out:109 type:P dur:2 cpbdur:2 q:10.33 aq:5.63 tex:2590281 mv:47156 misc:1139 imb:1502 pmb:3578 smb:3080 d:- ref:0 ;
in:110 out:110 type:B dur:2 cpbdur:2 q:9.37 aq:5.68 tex:1850639 mv:69509 misc:1212 imb:338 pmb:4666 smb:3156 d:- ref:0 ;
in:109 out:111 type:b dur:2 cpbdur:2 q:8.90 aq:6.30 tex:1059898 mv:51491 misc:1595 imb:78 pmb:4844 smb:3238 d:- ref:0 ;
in:111 out:112 type:b dur:2 cpbdur:2 q:9.85 aq:7.17 tex:1000895 mv:55659 misc:1614 imb:197 pmb:4649 smb:3314 d:- ref:0 ;
in:113 out:113 type:P dur:2 cpbdur:2 q:12.05 aq:6.84 tex:1062085 mv:32035 misc:1776 imb:678 pmb:4185 smb:3297 d:- ref:0 ;
in:117 out:114 type:P dur:2 cpbdur:2 q:12.61 aq:7.31 tex:2009144 mv:47018 misc:1038 imb:2039 pmb:3035 smb:3086 d:- ref:0 ;
in:115 out:115 type:B dur:2 cpbdur:2 q:12.33 aq:8.32 tex:1259512 mv:74567 misc:1265 imb:827 pmb:4134 smb:3199 d:- ref:0 ;
in:114 out:116 type:b dur:2 cpbdur:2 q:12.19 aq:9.46 tex:790022 mv:64493 misc:1477 imb:635 pmb:4272 smb:3253 d:- ref:0 ;
in:116 out:117 type:b dur:2 cpbdur:2 q:12.47 aq:9.65 tex:652301 mv:61544 misc:1571 imb:270 pmb:4556 smb:3334 d:- ref:0 ;
in:121 out:118 type:P dur:2 cpbdur:2 q:13.75 aq:9.06 tex:1741152 mv:47182 misc:1098 imb:1866 pmb:3116 smb:3178 d:- ref:0 ;
in:119 out:119 type:B dur:2 cpbdur:2 q:13.18 aq:9.26 tex:1161236 mv:69929 misc:1275 imb:501 pmb:4413 smb:3246 d:- ref:0 ;
in:118 out:120 type:b dur:2 cpbdur:2 q:12.89 aq:10.04 tex:680862 mv:61492 misc:1558 imb:380 pmb:4429 smb:3351 d:- ref:0 ;
in:120 out:121 type:b dur:2 cpbdur:2 q:13.46 aq:10.26 tex:433618 mv:44830 misc:1944 imb:147 pmb:4498 smb:3515 d:- ref:0 ;
in:125 out:122 type:P dur:2 cpbdur:2 q:14.96 aq:10.08 tex:1394874 mv:45981 misc:1281 imb:1925 pmb:3117 smb:3118 d:- ref:0 ;
in:123 out:123 type:B dur:2 cpbdur:2 q:14.35 aq:10.53 tex:837005 mv:71691 misc:1504 imb:664 pmb:4199 smb:3297 d:- ref:0 ;
in:122 out:124 type:b dur:2 cpbdur:2 q:14.05 aq:11.11 tex:463107 mv:51388 misc:2097 imb:311 pmb:4375 smb:3474 d:- ref:0 ;
in:124 out:125 type:b dur:2 cpbdur:2 q:14.66 aq:11.16 tex:463730 mv:56211 misc:1707 imb:252 pmb:4385 smb:3523 d:- ref:0 ;
in:128 out:126 type:P dur:2 cpbdur:2 q:15.92 aq:10.42 tex:1149811 mv:48750 misc:1375 imb:2139 pmb:3318 smb:2703 d:- ref:0 ;
in:126 out:127 type:B dur:2 cpbdur:2 q:15.28 aq:11.32 tex:598714 mv:65898 misc:1804 imb:649 pmb:4145 smb:3366 d:- ref:0 ;
in:127 out:128 type:b dur:2 cpbdur:2 q:15.60 aq:12.39 tex:417424 mv:59710 misc:2210 imb:522 pmb:4436 smb:3202 d:- ref:0 ;
in:131 out:129 type:P dur:2 cpbdur:2 q:16.65 aq:12.36 tex:601625 mv:39676 misc:2651 imb:1528 pmb:3332 smb:3300 d:- ref:0 ;
in:129 out:130 type:B dur:2 cpbdur:2 q:16.16 aq:12.38 tex:417527 mv:49435 misc:3126 imb:509 pmb:4080 smb:3571 d:- ref:0 ;
in:130 out:131 type:b dur:2 cpbdur:2 q:16.40 aq:12.96 tex:253821 mv:37456 misc:3899 imb:174 pmb:3806 smb:4180 d:- ref:0 ;
in:135 out:132 type:P dur:2 cpbdur:2 q:17.24 aq:10.23 tex:997159 mv:33416 misc:1169 imb:4941 pmb:526 smb:2693 d:- ref:0 ;
in:133 out:133 type:B dur:2 cpbdur:2 q:16.94 aq:10.89 tex:440396 mv:40691 misc:2025 imb:1209 pmb:3678 smb:3273 d:- ref:0 ;
in:132 out:134 type:b dur:2 cpbdur:2 q:16.80 aq:12.25 tex:263583 mv:36627 misc:2846 imb:1450 pmb:3205 smb:3505 d:- ref:0 ;
in:134 out:135 type:b dur:2 cpbdur:2 q:17.09 aq:12.19 tex:125700 mv:35952 misc:3660 imb:230 pmb:3777 smb:4153 d:- ref:0 ;
in:139 out:136 type:P dur:2 cpbdur:2 q:17.88 aq:10.69 tex:620344 mv:44302 misc:1914 imb:1970 pmb:3165 smb:3025 d:- ref:0 ;
in:137 out:137 type:B dur:2 cpbdur:2 q:17.56 aq:11.98 tex:260324 mv:48999 misc:2885 imb:397 pmb:4060 smb:3703 d:- ref:0 ;
in:136 out:138 type:b dur:2 cpbdur:2 q:17.40 aq:13.06 tex:110312 mv:33298 misc:3854 imb:119 pmb:3408 smb:4633 d:- ref:0 ;
in:138 out:139 type:b dur:2 cpbdur:2 q:17.72 aq:13.03 tex:159909 mv:47020 misc:3135 imb:413 pmb:3971 smb:3776 d:- ref:0 ;
in:140 out:140 type:P dur:2 cpbdur:2 q:18.38 aq:10.98 tex:299964 mv:30123 misc:3337 imb:536 pmb:3791 smb:3833 d:- ref:0 ;
in:144 out:141 type:P dur:2 cpbdur:2 q:18.50 aq:11.13 tex:638382 mv:46288 misc:1650 imb:2268 pmb:2873 smb:3019 d:- ref:0 ;
in:142 out:142 type:B dur:2 cpbdur:2 q:18.44 aq:13.22 tex:306821 mv:57700 misc:2223 imb:681 pmb:4043 smb:3436 d:- ref:0 ;
